,Tokens,Occurences
141,hydatina,"[('T6.txt', 1)]"
142,_kallima,"[('T1.txt', 1)]"
143,har,"[('T9.txt', 2)]"
144,_field,"[('T5.txt', 1)]"
145,bat,"[('T7.txt', 4)]"
146,_proved_,"[('T7.txt', 1), ('T9.txt', 1)]"
147,naturalist,"[('T6.txt', 2)]"
148,_astronomy_,"[('T5.txt', 1)]"
149,life_,"[('T7.txt', 1)]"
150,indemnifi,"[('T10.txt', 1)]"
151,log,"[('T8.txt', 1)]"
152,disembodi,"[('T9.txt', 1)]"
153,flung,"[('T4.txt', 1)]"
154,outward,"[('T1.txt', 1), ('T2.txt', 1), ('T3.txt', 1)]"
155,veil,"[('T1.txt', 1)]"
156,dens,"[('T1.txt', 1), ('T3.txt', 1), ('T4.txt', 2), ('T6.txt', 1), ('T9.txt', 1)]"
157,suffus,"[('T7.txt', 1)]"
158,extract,"[('T9.txt', 1)]"
159,eventu,"[('T6.txt', 2), ('T7.txt', 4)]"
160,kindr,"[('T7.txt', 1), ('T8.txt', 1)]"
161,weaker,"[('T7.txt', 1)]"
162,dynam,"[('T1.txt', 1), ('T7.txt', 1), ('T10.txt', 1)]"
163,tentacl,"[('T6.txt', 5)]"
164,atom_,"[('T9.txt', 1)]"
165,copper,"[('T2.txt', 2), ('T9.txt', 15)]"
166,pre,"[('T5.txt', 1), ('T6.txt', 3), ('T7.txt', 3)]"
167,_rest_,"[('T9.txt', 1)]"
168,inki,"[('T9.txt', 1)]"
169,larmor,"[('T10.txt', 1)]"
170,gregari,"[('T4.txt', 1)]"
171,squar,"[('T2.txt', 1), ('T7.txt', 1)]"
172,troublesom,"[('T6.txt', 1)]"
173,feder,"[('T10.txt', 2)]"
174,post,"[('T1.txt', 1), ('T10.txt', 5)]"
175,mccabe,"[('T7.txt', 1)]"
176,reconcil,"[('T4.txt', 1)]"
177,hardwood,"[('T7.txt', 1)]"
178,dissimilar,"[('T7.txt', 1)]"
179,whirlpool,"[('T2.txt', 1), ('T9.txt', 2), ('T10.txt', 1)]"
180,everyth,"[('T2.txt', 1), ('T6.txt', 3), ('T7.txt', 1), ('T9.txt', 2)]"
181,other,"[('T3.txt', 1), ('T4.txt', 1), ('T6.txt', 8), ('T7.txt', 5), ('T9.txt', 3), ('T10.txt', 1)]"
182,attitud,"[('T1.txt', 1)]"
183,henri,"[('T1.txt', 1), ('T7.txt', 1)]"
184,denser,"[('T4.txt', 1), ('T5.txt', 2), ('T9.txt', 1)]"
185,dream,"[('T10.txt', 1)]"
186,storm,"[('T1.txt', 1), ('T2.txt', 4), ('T9.txt', 1)]"
187,_factors_,"[('T6.txt', 1), ('T7.txt', 1)]"
188,cinder,"[('T8.txt', 1)]"
189,protoplasm,"[('T6.txt', 2)]"
190,consid,"[('T1.txt', 2), ('T3.txt', 1), ('T4.txt', 2), ('T5.txt', 1), ('T6.txt', 3), ('T9.txt', 6), ('T10.txt', 3)]"
191,complic,"[('T6.txt', 2), ('T9.txt', 4), ('T10.txt', 3)]"
192,septemb,"[('T1.txt', 3), ('T4.txt', 1)]"
193,semi,"[('T3.txt', 1), ('T6.txt', 1)]"
194,loos,"[('T6.txt', 2), ('T10.txt', 4)]"
195,191,"[('T1.txt', 6)]"
196,defin,"[('T2.txt', 1), ('T8.txt', 1)]"
