,Tokens,Occurences
2618,mere,"[('T1.txt', 2), ('T2.txt', 3), ('T4.txt', 2), ('T5.txt', 3), ('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 1)]"
2619,obliter,"[('T7.txt', 1)]"
2620,altern,"[('T1.txt', 1), ('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 2), ('T10.txt', 1)]"
2621,mud,"[('T1.txt', 3), ('T6.txt', 1), ('T7.txt', 9), ('T8.txt', 1)]"
2622,crater,"[('T1.txt', 1), ('T3.txt', 3), ('T4.txt', 4)]"
2623,arthur,"[('T1.txt', 6), ('T10.txt', 1)]"
2624,gutenberg,"[('T1.txt', 4), ('T10.txt', 89)]"
2625,jean,"[('T10.txt', 2)]"
2626,treasur,"[('T1.txt', 1)]"
2627,brief,"[('T10.txt', 1)]"
2628,dublin,"[('T10.txt', 1)]"
2629,harri,"[('T6.txt', 1)]"
2630,margin,"[('T6.txt', 2)]"
2631,dr,"[('T9.txt', 1), ('T10.txt', 2)]"
2632,union,"[('T9.txt', 3)]"
2633,unalt,"[('T9.txt', 1)]"
2634,schuchert,"[('T7.txt', 2)]"
2635,bit,"[('T4.txt', 1), ('T6.txt', 1)]"
2636,_one,"[('T1.txt', 1)]"
2637,gist,"[('T1.txt', 1), ('T6.txt', 1)]"
2638,particularli,"[('T1.txt', 1), ('T7.txt', 3), ('T9.txt', 1), ('T10.txt', 1)]"
2639,regard,"[('T1.txt', 4), ('T3.txt', 2), ('T5.txt', 1), ('T6.txt', 4), ('T7.txt', 5), ('T8.txt', 2), ('T9.txt', 2)]"
2640,proterozo,"[('T7.txt', 2)]"
2641,gall,"[('T7.txt', 1)]"
2642,teeth,"[('T6.txt', 1), ('T7.txt', 7), ('T8.txt', 2), ('T9.txt', 1)]"
2643,underneath,"[('T7.txt', 1)]"
2644,vivipar,"[('T7.txt', 5)]"
2645,fact,"[('T1.txt', 1), ('T2.txt', 7), ('T4.txt', 3), ('T5.txt', 2), ('T6.txt', 6), ('T7.txt', 19), ('T8.txt', 3), ('T9.txt', 9), ('T10.txt', 5)]"
2646,brightli,"[('T3.txt', 1), ('T7.txt', 2)]"
2647,jump,"[('T7.txt', 1)]"
2648,trent,"[('T1.txt', 2), ('T10.txt', 2)]"
2649,tyranni,"[('T8.txt', 3)]"
2650,simpl,"[('T1.txt', 5), ('T2.txt', 1), ('T5.txt', 5), ('T6.txt', 19), ('T8.txt', 1), ('T9.txt', 3), ('T10.txt', 3)]"
2651,observatori,"[('T1.txt', 19), ('T2.txt', 7), ('T3.txt', 1), ('T4.txt', 7), ('T5.txt', 6), ('T6.txt', 1)]"
2652,reconstruct,"[('T1.txt', 3)]"
2653,led,"[('T5.txt', 1), ('T7.txt', 3), ('T10.txt', 1)]"
2654,uranium,"[('T6.txt', 2), ('T9.txt', 11)]"
2655,cuckoo,"[('T1.txt', 1)]"
2656,came,"[('T3.txt', 1), ('T6.txt', 2), ('T7.txt', 6), ('T8.txt', 2), ('T9.txt', 1)]"
2657,benefici,"[('T7.txt', 1)]"
2658,cagcomb,"[('T1.txt', 1)]"
2659,consequenti,"[('T10.txt', 1)]"
2660,modern,"[('T1.txt', 13), ('T5.txt', 13), ('T6.txt', 1), ('T7.txt', 17), ('T9.txt', 10), ('T10.txt', 1)]"
2661,sobral,"[('T1.txt', 1), ('T2.txt', 1)]"
2662,guess,"[('T1.txt', 2), ('T3.txt', 1), ('T9.txt', 1)]"
2663,subconsci,"[('T6.txt', 1)]"
2664,superior,"[('T5.txt', 1)]"
2665,commun,"[('T2.txt', 1), ('T3.txt', 1), ('T6.txt', 2), ('T7.txt', 1), ('T9.txt', 1)]"
2666,situat,"[('T5.txt', 2), ('T7.txt', 1), ('T8.txt', 3)]"
2667,hered,"[('T1.txt', 1)]"
2668,flaw,"[('T6.txt', 1)]"
2669,txt,"[('T10.txt', 1)]"
2670,_physiological_,"[('T7.txt', 1)]"
2671,prodigi,"[('T1.txt', 2), ('T2.txt', 1), ('T3.txt', 1), ('T5.txt', 1), ('T7.txt', 1), ('T8.txt', 2), ('T9.txt', 1), ('T10.txt', 1)]"
2672,land,"[('T1.txt', 2), ('T6.txt', 4), ('T7.txt', 36)]"
2673,_multicellular_,"[('T6.txt', 1)]"
2674,retain,"[('T3.txt', 1), ('T4.txt', 1), ('T7.txt', 1)]"
2675,exposur,"[('T6.txt', 1)]"
2676,fieri,"[('T1.txt', 1), ('T2.txt', 1), ('T4.txt', 2), ('T5.txt', 1)]"
2677,fade,"[('T1.txt', 1), ('T2.txt', 1)]"
2678,scapula,"[('T7.txt', 1)]"
2679,degener,"[('T7.txt', 1)]"
2680,steamship,"[('T9.txt', 1)]"
2681,spice,"[('T7.txt', 1)]"
2682,ancient,"[('T6.txt', 4), ('T7.txt', 15), ('T9.txt', 1), ('T10.txt', 1)]"
2683,substanc,"[('T1.txt', 3), ('T2.txt', 9), ('T5.txt', 3), ('T6.txt', 5), ('T7.txt', 1), ('T9.txt', 13), ('T10.txt', 2)]"
2684,ductless,"[('T1.txt', 1)]"
2685,buy,"[('T9.txt', 1)]"
2686,contrast,"[('T2.txt', 2), ('T6.txt', 3), ('T7.txt', 3), ('T8.txt', 1)]"
2687,energy_,"[('T9.txt', 2), ('T10.txt', 2)]"
2688,turtl,"[('T7.txt', 3), ('T8.txt', 4)]"
2689,father,"[('T7.txt', 1)]"
2690,neap,"[('T10.txt', 1)]"
2691,anim,"[('T1.txt', 19), ('T3.txt', 2), ('T6.txt', 84), ('T7.txt', 79), ('T8.txt', 5), ('T10.txt', 1)]"
2692,118,"[('T1.txt', 2)]"
2693,crayfish,"[('T8.txt', 1)]"
2694,vari,"[('T1.txt', 2), ('T5.txt', 2), ('T6.txt', 1), ('T7.txt', 6), ('T9.txt', 2), ('T10.txt', 1)]"
2695,forehead,"[('T7.txt', 1)]"
2696,141,"[('T1.txt', 1), ('T5.txt', 1)]"
2697,throughout,"[('T1.txt', 1), ('T2.txt', 2), ('T6.txt', 4), ('T7.txt', 3), ('T9.txt', 1), ('T10.txt', 2)]"
2698,rearrang,"[('T7.txt', 1)]"
2699,fast,"[('T4.txt', 1), ('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 1)]"
2700,gluten,"[('T6.txt', 1)]"
2701,benevol,"[('T7.txt', 1)]"
2702,atmospher,"[('T1.txt', 5), ('T3.txt', 4), ('T4.txt', 5), ('T6.txt', 5), ('T7.txt', 2), ('T9.txt', 2), ('T10.txt', 1)]"
2703,cetacean,"[('T7.txt', 1)]"
2704,histor,"[('T5.txt', 1), ('T7.txt', 2)]"
2705,seventeen,"[('T3.txt', 1), ('T9.txt', 1)]"
2706,moistur,"[('T2.txt', 1), ('T4.txt', 1), ('T6.txt', 1), ('T9.txt', 1)]"
2707,grandest,"[('T1.txt', 1), ('T6.txt', 1), ('T9.txt', 1)]"
2708,surround,"[('T1.txt', 2), ('T2.txt', 2), ('T6.txt', 3), ('T7.txt', 3), ('T9.txt', 4), ('T10.txt', 1)]"
2709,bitten,"[('T6.txt', 1)]"
2710,trip,"[('T8.txt', 1)]"
2711,hang,"[('T6.txt', 1)]"
2712,192,"[('T1.txt', 2)]"
2713,wind,"[('T1.txt', 2), ('T3.txt', 1), ('T7.txt', 2), ('T10.txt', 1)]"
2714,decant,"[('T2.txt', 1)]"
2715,sparrow,"[('T7.txt', 2)]"
2716,habit,"[('T1.txt', 5), ('T6.txt', 2), ('T7.txt', 2)]"
2717,hypothesi,"[('T2.txt', 1), ('T4.txt', 2), ('T5.txt', 1), ('T6.txt', 2), ('T7.txt', 1), ('T10.txt', 1)]"
2718,combust,"[('T2.txt', 5), ('T7.txt', 1), ('T9.txt', 1)]"
2719,28,"[('T1.txt', 1), ('T5.txt', 1)]"
2720,mortar,"[('T1.txt', 1), ('T6.txt', 1)]"
2721,predisposit,"[('T8.txt', 3)]"
2722,ought,"[('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 1), ('T10.txt', 2)]"
2723,cluck,"[('T8.txt', 2)]"
2724,bid,"[('T1.txt', 1)]"
2725,lament,"[('T6.txt', 1)]"
2726,stickleback,"[('T1.txt', 2)]"
2727,ask,"[('T3.txt', 1), ('T5.txt', 2), ('T7.txt', 2), ('T9.txt', 3), ('T10.txt', 1)]"
2728,inexpens,"[('T6.txt', 1)]"
2729,dove,"[('T6.txt', 1)]"
2730,_world,"[('T10.txt', 1)]"
2731,hindmost,"[('T6.txt', 1)]"
2732,disintegr,"[('T1.txt', 1), ('T2.txt', 3), ('T6.txt', 1), ('T9.txt', 7)]"
2733,charact,"[('T1.txt', 1), ('T6.txt', 2)]"
2734,americana_,"[('T1.txt', 1)]"
2735,_same_,"[('T2.txt', 1)]"
2736,stereotyp,"[('T7.txt', 1), ('T8.txt', 1)]"
2737,food,"[('T1.txt', 3), ('T6.txt', 9), ('T7.txt', 11), ('T8.txt', 6), ('T9.txt', 1), ('T10.txt', 1)]"
2738,gun,"[('T6.txt', 1)]"
2739,87,"[('T1.txt', 1)]"
2740,cuttlefish,"[('T1.txt', 2), ('T7.txt', 3)]"
2741,irregular,"[('T1.txt', 1), ('T4.txt', 1), ('T5.txt', 1), ('T6.txt', 1)]"
2742,ovipar,"[('T7.txt', 1)]"
2743,nevil,"[('T7.txt', 1)]"
2744,acut,"[('T8.txt', 1)]"
2745,86,"[('T1.txt', 2), ('T5.txt', 1)]"
2746,landlock,"[('T7.txt', 1)]"
2747,chromospher,"[('T1.txt', 4)]"
2748,telescop,"[('T1.txt', 2), ('T3.txt', 4), ('T4.txt', 1), ('T5.txt', 33), ('T6.txt', 1), ('T7.txt', 1)]"
2749,_absorbs_,"[('T9.txt', 1)]"
2750,frontispiec,"[('T1.txt', 1), ('T2.txt', 1)]"
2751,alfr,"[('T10.txt', 1)]"
2752,1890,"[('T6.txt', 1)]"
2753,tropic,"[('T1.txt', 1), ('T3.txt', 1)]"
2754,_jurassic_,"[('T7.txt', 1)]"
2755,_positions_,"[('T5.txt', 1)]"
2756,tender,"[('T6.txt', 1)]"
2757,_energi,"[('T9.txt', 1)]"
2758,suddenli,"[('T4.txt', 1), ('T5.txt', 2), ('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 1)]"
2759,prevail,"[('T10.txt', 1)]"
2760,lip,"[('T8.txt', 1)]"
2761,bison,"[('T1.txt', 2)]"
2762,chameleon,"[('T1.txt', 1)]"
2763,stupefi,"[('T8.txt', 1)]"
2764,reminisc,"[('T6.txt', 1)]"
2765,72,"[('T1.txt', 4)]"
2766,sent,"[('T9.txt', 1), ('T10.txt', 1)]"
2767,flourish,"[('T6.txt', 1), ('T7.txt', 1)]"
2768,250000,"[('T9.txt', 1)]"
2769,_miocene_,"[('T7.txt', 1)]"
2770,absorpt,"[('T2.txt', 1), ('T4.txt', 1), ('T6.txt', 1)]"
2771,119,"[('T1.txt', 3)]"
2772,tides_,"[('T10.txt', 1)]"
2773,stabl,"[('T6.txt', 3), ('T7.txt', 2)]"
2774,could,"[('T1.txt', 6), ('T2.txt', 4), ('T3.txt', 3), ('T5.txt', 1), ('T6.txt', 2), ('T7.txt', 5), ('T8.txt', 1), ('T9.txt', 8), ('T10.txt', 9)]"
2775,surer,"[('T7.txt', 1)]"
2776,ceas,"[('T1.txt', 1), ('T2.txt', 1), ('T7.txt', 1), ('T9.txt', 2), ('T10.txt', 4)]"
2777,lit,"[('T4.txt', 1), ('T5.txt', 1), ('T9.txt', 1)]"
2778,_egg_,"[('T6.txt', 1)]"
2779,recapitul,"[('T7.txt', 5)]"
2780,stagger,"[('T4.txt', 1)]"
2781,4557,"[('T10.txt', 1)]"
2782,ascent,"[('T1.txt', 2), ('T7.txt', 1)]"
2783,phrase,"[('T1.txt', 1), ('T6.txt', 1), ('T8.txt', 1), ('T10.txt', 4)]"
2784,primordi,"[('T1.txt', 1)]"
2785,collar,"[('T6.txt', 1), ('T7.txt', 1)]"
2786,tse,"[('T6.txt', 4), ('T7.txt', 2)]"
2787,indistinguish,"[('T6.txt', 1)]"
2788,boreali,"[('T1.txt', 1), ('T2.txt', 2), ('T4.txt', 1)]"
2789,profound,"[('T1.txt', 2), ('T7.txt', 1), ('T9.txt', 1)]"
2790,butterfli,"[('T1.txt', 1), ('T6.txt', 1)]"
2791,prepar,"[('T5.txt', 1), ('T6.txt', 2), ('T9.txt', 1), ('T10.txt', 2)]"
2792,dover,"[('T6.txt', 1)]"
2793,cmc,"[('T7.txt', 1)]"
2794,sick,"[('T1.txt', 1), ('T6.txt', 3), ('T7.txt', 1)]"
2795,callou,"[('T6.txt', 1)]"
2796,comet,"[('T1.txt', 8), ('T2.txt', 1), ('T4.txt', 14)]"
2797,unavailable_,"[('T10.txt', 1)]"
2798,encourag,"[('T1.txt', 1), ('T7.txt', 1), ('T9.txt', 1)]"
2799,descent,"[('T7.txt', 1)]"
2800,beneath,"[('T1.txt', 1), ('T7.txt', 1), ('T8.txt', 1)]"
2801,permian,"[('T7.txt', 8)]"
2802,shrew,"[('T7.txt', 1)]"
2803,altamira,"[('T1.txt', 2)]"
2804,hormon,"[('T1.txt', 2), ('T6.txt', 2)]"
2805,thunderstorm,"[('T9.txt', 3)]"
2806,mottl,"[('T5.txt', 1)]"
2807,species_,"[('T6.txt', 1), ('T7.txt', 1)]"
2808,obsolet,"[('T10.txt', 1)]"
2809,deterior,"[('T6.txt', 1)]"
2810,morn,"[('T3.txt', 1), ('T9.txt', 1)]"
2811,contact,"[('T1.txt', 1), ('T6.txt', 3), ('T10.txt', 6)]"
2812,anatomis,"[('T1.txt', 1)]"
2813,induc,"[('T6.txt', 1)]"
2814,everybodi,"[('T10.txt', 1)]"
2815,_,"[('T1.txt', 5), ('T2.txt', 9), ('T4.txt', 7), ('T5.txt', 4), ('T6.txt', 16), ('T7.txt', 23), ('T8.txt', 2), ('T9.txt', 7), ('T10.txt', 6)]"
2816,bigger,"[('T6.txt', 1)]"
2817,issu,"[('T1.txt', 1), ('T2.txt', 1)]"
2818,heart,"[('T1.txt', 1), ('T7.txt', 1)]"
2819,_reflecting_,"[('T5.txt', 1)]"
2820,36,"[('T1.txt', 1), ('T5.txt', 1), ('T9.txt', 1)]"
2821,unmistak,"[('T2.txt', 1)]"
2822,destin,"[('T2.txt', 1), ('T7.txt', 1)]"
2823,contin,"[('T6.txt', 2), ('T7.txt', 3)]"
2824,motion,"[('T5.txt', 10), ('T9.txt', 12), ('T10.txt', 8)]"
2825,_procellaria,"[('T1.txt', 1)]"
2826,telegraphi,"[('T9.txt', 1)]"
2827,1781,"[('T5.txt', 1)]"
2828,lobe,"[('T6.txt', 1)]"
2829,violet,"[('T2.txt', 3), ('T9.txt', 14)]"
2830,four,"[('T1.txt', 3), ('T3.txt', 1), ('T4.txt', 1), ('T5.txt', 5), ('T7.txt', 4), ('T10.txt', 3)]"
2831,_descent,"[('T7.txt', 1)]"
2832,linger,"[('T4.txt', 1), ('T7.txt', 1), ('T9.txt', 1)]"
2833,hart,"[('T10.txt', 2)]"
2834,prove,"[('T5.txt', 1), ('T6.txt', 2), ('T7.txt', 2), ('T8.txt', 1), ('T9.txt', 2), ('T10.txt', 2)]"
2835,rhodesia,"[('T1.txt', 1)]"
2836,_photo,"[('T1.txt', 3), ('T2.txt', 3), ('T4.txt', 7), ('T5.txt', 3), ('T6.txt', 10), ('T7.txt', 6), ('T8.txt', 3), ('T9.txt', 3), ('T10.txt', 4)]"
2837,nut,"[('T1.txt', 1), ('T8.txt', 1)]"
2838,vigor,"[('T6.txt', 1), ('T7.txt', 2), ('T8.txt', 1), ('T9.txt', 2)]"
2839,2001,"[('T10.txt', 1)]"
2840,sperm,"[('T6.txt', 8), ('T7.txt', 1)]"
2841,item,"[('T6.txt', 1), ('T7.txt', 2)]"
2842,patch,"[('T1.txt', 1), ('T4.txt', 1), ('T5.txt', 1), ('T9.txt', 1)]"
2843,day,"[('T1.txt', 17), ('T2.txt', 4), ('T3.txt', 1), ('T4.txt', 8), ('T5.txt', 4), ('T6.txt', 10), ('T7.txt', 15), ('T8.txt', 7), ('T9.txt', 7), ('T10.txt', 23)]"
2844,correspond,"[('T2.txt', 5), ('T4.txt', 3), ('T6.txt', 4), ('T7.txt', 2), ('T9.txt', 1), ('T10.txt', 1)]"
2845,deduc,"[('T1.txt', 1)]"
2846,sneez,"[('T6.txt', 1)]"
2847,instantli,"[('T1.txt', 1)]"
2848,timber,"[('T9.txt', 1)]"
2849,wedg,"[('T9.txt', 1)]"
2850,mar,"[('T1.txt', 4), ('T2.txt', 1), ('T3.txt', 23), ('T5.txt', 1), ('T10.txt', 5)]"
2851,outflam,"[('T5.txt', 1)]"
2852,paperwork,"[('T10.txt', 1)]"
2853,trap,"[('T1.txt', 1), ('T6.txt', 3)]"
2854,fail,"[('T6.txt', 1), ('T10.txt', 1)]"
2855,perrin,"[('T10.txt', 1)]"
2856,current,"[('T1.txt', 3), ('T2.txt', 1), ('T6.txt', 2), ('T8.txt', 2), ('T9.txt', 28), ('T10.txt', 2)]"
2857,correspondingli,"[('T10.txt', 1)]"
2858,host,"[('T6.txt', 3), ('T7.txt', 4)]"
2859,inject,"[('T7.txt', 1)]"
2860,casual,"[('T7.txt', 1)]"
2861,fourteen,"[('T4.txt', 2)]"
2862,master,"[('T1.txt', 2), ('T6.txt', 1), ('T7.txt', 4)]"
2863,climber,"[('T7.txt', 2)]"
2864,calm,"[('T7.txt', 1)]"
2865,conflagr,"[('T5.txt', 2)]"
2866,quick,"[('T8.txt', 1)]"
2867,inert,"[('T1.txt', 1), ('T6.txt', 1), ('T7.txt', 1)]"
2868,eighti,"[('T1.txt', 2), ('T4.txt', 1), ('T9.txt', 4)]"
2869,drink,"[('T8.txt', 1)]"
2870,tranquil,"[('T1.txt', 1)]"
2871,abbrevi,"[('T7.txt', 1)]"
2872,front,"[('T6.txt', 2), ('T9.txt', 1)]"
2873,spectroscopi,"[('T5.txt', 1)]"
2874,262,"[('T1.txt', 2)]"
2875,_when,"[('T10.txt', 1)]"
2876,lafayett,"[('T1.txt', 1)]"
2877,dealt,"[('T6.txt', 3), ('T9.txt', 2), ('T10.txt', 1)]"
2878,pollen,"[('T6.txt', 2), ('T7.txt', 4)]"
2879,spiral,"[('T1.txt', 8), ('T4.txt', 8), ('T5.txt', 11), ('T6.txt', 3), ('T7.txt', 1)]"
2880,left,"[('T1.txt', 2), ('T6.txt', 2), ('T7.txt', 7), ('T8.txt', 2), ('T9.txt', 3)]"
2881,shortest,"[('T2.txt', 1), ('T9.txt', 2)]"
2882,richer,"[('T7.txt', 1)]"
2883,49,"[('T1.txt', 2), ('T5.txt', 1)]"
2884,recal,"[('T7.txt', 1)]"
2885,stimulu,"[('T6.txt', 4)]"
2886,branch,"[('T1.txt', 3), ('T5.txt', 1), ('T6.txt', 5), ('T7.txt', 5), ('T8.txt', 1), ('T9.txt', 2)]"
2887,base,"[('T1.txt', 2), ('T5.txt', 1), ('T8.txt', 1), ('T9.txt', 2), ('T10.txt', 2)]"
2888,immers,"[('T9.txt', 3)]"
2889,unveil,"[('T9.txt', 1)]"
2890,hatch,"[('T1.txt', 2), ('T6.txt', 1), ('T7.txt', 2)]"
2891,export,"[('T10.txt', 1)]"
2892,writer,"[('T5.txt', 1)]"
2893,nevertheless,"[('T10.txt', 1)]"
2894,affect,"[('T5.txt', 1), ('T6.txt', 4), ('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 7)]"
2895,73000,"[('T5.txt', 1)]"
2896,_sperm_,"[('T6.txt', 1)]"
2897,sporozoa,"[('T6.txt', 1)]"
2898,conserv,"[('T7.txt', 2), ('T9.txt', 1)]"
2899,dentit,"[('T1.txt', 1)]"
2900,13,"[('T2.txt', 1), ('T3.txt', 1), ('T9.txt', 1)]"
2901,monotoni,"[('T7.txt', 1)]"
2902,_rhodeu,"[('T1.txt', 1)]"
2903,truli,"[('T1.txt', 1), ('T5.txt', 1)]"
2904,green,"[('T1.txt', 1), ('T2.txt', 2), ('T6.txt', 7), ('T7.txt', 3), ('T9.txt', 2)]"
2905,subsequ,"[('T6.txt', 2), ('T7.txt', 1)]"
2906,earthworm,"[('T1.txt', 2), ('T6.txt', 8), ('T7.txt', 2), ('T8.txt', 1)]"
2907,ages_,"[('T7.txt', 2)]"
2908,indigen,"[('T1.txt', 1)]"
2909,flexibl,"[('T5.txt', 1)]"
2910,silver,"[('T9.txt', 1)]"
2911,problem,"[('T1.txt', 4), ('T3.txt', 1), ('T5.txt', 1), ('T6.txt', 2), ('T7.txt', 5), ('T9.txt', 4), ('T10.txt', 1)]"
2912,dipnoi,"[('T7.txt', 1)]"
2913,267,"[('T1.txt', 2)]"
2914,ape,"[('T1.txt', 5), ('T7.txt', 2)]"
2915,247,"[('T1.txt', 2)]"
2916,intric,"[('T1.txt', 1), ('T5.txt', 1)]"
2917,scope,"[('T10.txt', 1)]"
2918,huxley,"[('T1.txt', 2), ('T6.txt', 1), ('T7.txt', 1)]"
2919,exud,"[('T6.txt', 1)]"
2920,instrument,"[('T1.txt', 9), ('T2.txt', 7), ('T3.txt', 1), ('T5.txt', 18), ('T7.txt', 2), ('T9.txt', 2), ('T10.txt', 1)]"
2921,weav,"[('T9.txt', 1)]"
2922,claw,"[('T7.txt', 4)]"
2923,precursor,"[('T7.txt', 1)]"
2924,_mesozo,"[('T7.txt', 1)]"
2925,orderli,"[('T7.txt', 1)]"
2926,feint,"[('T8.txt', 1)]"
2927,32,"[('T1.txt', 2), ('T5.txt', 1)]"
2928,u,"[('T7.txt', 3), ('T10.txt', 3)]"
2929,etc,"[('T2.txt', 1), ('T10.txt', 1)]"
2930,distant,"[('T1.txt', 3), ('T3.txt', 1), ('T5.txt', 2), ('T6.txt', 4), ('T7.txt', 2), ('T10.txt', 1)]"
2931,slipher,"[('T3.txt', 1)]"
2932,soldier,"[('T1.txt', 1)]"
2933,de,"[('T1.txt', 2)]"
2934,conic,"[('T8.txt', 1)]"
2935,meanwhil,"[('T9.txt', 1)]"
2936,worst,"[('T8.txt', 2)]"
2937,dynamo,"[('T1.txt', 1), ('T9.txt', 6)]"
2938,mirror,"[('T5.txt', 6), ('T9.txt', 2)]"
2939,_light,"[('T10.txt', 1)]"
2940,journ,"[('T1.txt', 1), ('T6.txt', 1)]"
2941,_physophora,"[('T1.txt', 1)]"
2942,screen,"[('T1.txt', 1), ('T2.txt', 2), ('T3.txt', 1), ('T6.txt', 1), ('T9.txt', 7)]"
2943,april,"[('T1.txt', 4)]"
2944,molecular,"[('T6.txt', 1), ('T9.txt', 1), ('T10.txt', 4)]"
2945,205,"[('T1.txt', 1)]"
2946,overlook,"[('T7.txt', 1)]"
2947,instant,"[('T2.txt', 1), ('T4.txt', 1)]"
2948,wherebi,"[('T5.txt', 1), ('T6.txt', 1), ('T10.txt', 1)]"
2949,untutor,"[('T8.txt', 1)]"
2950,domest,"[('T1.txt', 1), ('T6.txt', 1), ('T7.txt', 1), ('T8.txt', 3)]"
2951,specimen,"[('T6.txt', 1), ('T7.txt', 1)]"
2952,littor,"[('T7.txt', 2)]"
2953,pr,"[('T7.txt', 1)]"
2954,riot,"[('T7.txt', 1)]"
2955,v,"[('T1.txt', 1), ('T6.txt', 1)]"
2956,public,"[('T1.txt', 1), ('T5.txt', 1), ('T7.txt', 1), ('T10.txt', 9)]"
2957,blood,"[('T1.txt', 1), ('T6.txt', 7), ('T7.txt', 9)]"
2958,made,"[('T1.txt', 5), ('T2.txt', 6), ('T3.txt', 3), ('T4.txt', 1), ('T5.txt', 3), ('T6.txt', 10), ('T7.txt', 9), ('T8.txt', 7), ('T9.txt', 12), ('T10.txt', 2)]"
2959,forc,"[('T1.txt', 4), ('T2.txt', 4), ('T4.txt', 3), ('T6.txt', 1), ('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 3), ('T10.txt', 2)]"
2960,thorough,"[('T7.txt', 1)]"
2961,certain,"[('T1.txt', 4), ('T2.txt', 4), ('T3.txt', 1), ('T6.txt', 12), ('T7.txt', 7), ('T8.txt', 6), ('T9.txt', 4), ('T10.txt', 4)]"
2962,owner,"[('T2.txt', 1), ('T10.txt', 5)]"
2963,bath,"[('T8.txt', 1)]"
2964,333,"[('T1.txt', 1)]"
2965,europ,"[('T7.txt', 1)]"
2966,mundan,"[('T1.txt', 1)]"
2967,easiest,"[('T7.txt', 1)]"
2968,falcon,"[('T1.txt', 1)]"
2969,judg,"[('T1.txt', 3)]"
2970,publish,"[('T1.txt', 1), ('T9.txt', 1)]"
2971,driven,"[('T1.txt', 1), ('T2.txt', 1), ('T9.txt', 1)]"
2972,plainli,"[('T7.txt', 1), ('T9.txt', 1)]"
2973,_essenc,"[('T5.txt', 1)]"
2974,hors,"[('T1.txt', 6), ('T7.txt', 14), ('T8.txt', 2), ('T10.txt', 1)]"
2975,west,"[('T1.txt', 1), ('T9.txt', 1), ('T10.txt', 1)]"
2976,perpetu,"[('T9.txt', 2)]"
2977,revers,"[('T1.txt', 1), ('T2.txt', 1), ('T6.txt', 1)]"
2978,doubtless,"[('T6.txt', 1), ('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 1), ('T10.txt', 1)]"
2979,cretac,"[('T7.txt', 4)]"
2980,transmiss,"[('T7.txt', 1)]"
2981,solut,"[('T1.txt', 2), ('T3.txt', 1), ('T7.txt', 2)]"
2982,soft,"[('T1.txt', 1), ('T4.txt', 1), ('T7.txt', 2), ('T8.txt', 2)]"
2983,tropism,"[('T6.txt', 4)]"
2984,sheer,"[('T8.txt', 3)]"
2985,twenti,"[('T1.txt', 4), ('T4.txt', 3), ('T5.txt', 2), ('T7.txt', 1), ('T9.txt', 3), ('T10.txt', 3)]"
2986,sunlit,"[('T3.txt', 1)]"
2987,instabl,"[('T7.txt', 1)]"
2988,abid,"[('T10.txt', 1)]"
2989,event,"[('T1.txt', 1), ('T5.txt', 3), ('T7.txt', 2), ('T8.txt', 1)]"
2990,convinc,"[('T5.txt', 1), ('T7.txt', 2), ('T9.txt', 1)]"
2991,_integrative_,"[('T7.txt', 1)]"
2992,obligatori,"[('T6.txt', 1)]"
2993,eagl,"[('T1.txt', 1), ('T6.txt', 1), ('T8.txt', 2)]"
2994,advent,"[('T1.txt', 1)]"
2995,shade,"[('T2.txt', 2), ('T4.txt', 1)]"
2996,_animal_,"[('T1.txt', 1)]"
2997,ichthyosaur,"[('T7.txt', 1)]"
2998,employe,"[('T10.txt', 3)]"
2999,concern,"[('T1.txt', 2), ('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 1), ('T10.txt', 3)]"
3000,left_,"[('T1.txt', 1)]"
3001,planet,"[('T1.txt', 28), ('T2.txt', 1), ('T3.txt', 28), ('T6.txt', 9), ('T9.txt', 3), ('T10.txt', 1)]"
3002,access,"[('T10.txt', 12)]"
3003,variabl,"[('T1.txt', 2), ('T5.txt', 4), ('T7.txt', 3)]"
3004,125,"[('T1.txt', 2)]"
3005,balanc,"[('T1.txt', 2), ('T7.txt', 1), ('T8.txt', 1)]"
3006,preen,"[('T8.txt', 1)]"
3007,lamprey,"[('T1.txt', 1)]"
3008,unknown,"[('T2.txt', 4), ('T6.txt', 2), ('T9.txt', 1), ('T10.txt', 1)]"
3009,emuls,"[('T9.txt', 1)]"
3010,prolif,"[('T7.txt', 3)]"
3011,rischgitz,"[('T1.txt', 4), ('T6.txt', 2), ('T7.txt', 1)]"
3012,utan,"[('T1.txt', 3)]"
3013,institut,"[('T1.txt', 1), ('T2.txt', 2), ('T6.txt', 2)]"
3014,manti,"[('T1.txt', 1)]"
3015,soon,"[('T2.txt', 1), ('T6.txt', 1), ('T8.txt', 1), ('T9.txt', 1)]"
3016,main,"[('T1.txt', 3), ('T2.txt', 1), ('T4.txt', 3), ('T6.txt', 3), ('T7.txt', 3), ('T8.txt', 1), ('T10.txt', 1)]"
